effect,order,ss,share_sys,design,outcome
topology × inoculation × seeding_regime,3,3.1707002241864903e-06,0.004039194672624607,E-SD,mean_signed_shift
message_condition × inoculation × seeding_regime,3,3.1232831982089737e-06,0.003978789530170868,E-SD,mean_signed_shift
topology × message_condition × inoculation × seeding_regime,4,1.2716596695820214e-05,0.01619983158163475,E-SD,mean_signed_shift
topology,1,3.0931471718957045e-06,0.003012173521263834,E-SD,conversion_rate
message_condition,1,0.0002942926320548178,0.28658852117769595,E-SD,conversion_rate
inoculation,1,1.4042916210431652e-05,0.013675295102258121,E-SD,conversion_rate
seeding_regime,1,2.8492828706369543e-06,0.0027746931977579463,E-SD,conversion_rate
topology × message_condition,2,3.482382467210747e-05,0.03391219258479992,E-SD,conversion_rate
topology × inoculation,2,3.8321571653408164e-05,0.03731837413894089,E-SD,conversion_rate
topology × seeding_regime,2,5.983924861571866e-05,0.05827275270000275,E-SD,conversion_rate
message_condition × inoculation,2,1.7424298942769778e-05,0.016968158637543886,E-SD,conversion_rate
message_condition × seeding_regime,2,2.564154747236011e-05,0.024970292730409082,E-SD,conversion_rate
inoculation × seeding_regime,2,1.3551031467699085e-05,0.013196287116141297,E-SD,conversion_rate
topology × message_condition × inoculation,3,9.304827320010748e-05,0.09061241808320185,E-SD,conversion_rate
topology × message_condition × seeding_regime,3,9.459558872443449e-05,0.09211922735945165,E-SD,conversion_rate
topology × inoculation × seeding_regime,3,5.875830758219757e-05,0.05722010897557748,E-SD,conversion_rate
message_condition × inoculation × seeding_regime,3,6.874533554499223e-05,0.06694569250389526,E-SD,conversion_rate
topology × message_condition × inoculation × seeding_regime,4,0.00020785512728591028,0.20241381217106008,E-SD,conversion_rate
topology,1,0.0011524260745206436,0.0016201593300086484,CS-0,mean_total_shift
message_condition,1,0.7047074748050682,0.9907259263525225,CS-0,mean_total_shift
inoculation,1,0.0007586491068842893,0.0010665607589906124,CS-0,mean_total_shift
seeding_regime,1,0.003193132724761028,0.0044891241966469805,CS-0,mean_total_shift
topology × message_condition,2,0.00019233445121014103,0.0002703969152553405,CS-0,mean_total_shift
topology × inoculation,2,0.00028564076697410313,0.00040157331031963686,CS-0,mean_total_shift
topology × seeding_regime,2,3.840367923638611e-05,5.399051669962523e-05,CS-0,mean_total_shift
message_condition × inoculation,2,0.0001336792196692249,0.00018793538237622608,CS-0,mean_total_shift
message_condition × seeding_regime,2,0.0006385087426151737,0.0008976592247536251,CS-0,mean_total_shift
inoculation × seeding_regime,2,4.585058957603215e-06,6.445989216176406e-06,CS-0,mean_total_shift
topology × message_condition × inoculation,3,7.259753060151475e-05,0.00010206256968678605,CS-0,mean_total_shift
topology × message_condition × seeding_regime,3,2.9835896969809816e-05,4.194534288450641e-05,CS-0,mean_total_shift
topology × inoculation × seeding_regime,3,1.7974955529385245e-05,2.527042085501023e-05,CS-0,mean_total_shift
message_condition × inoculation × seeding_regime,3,1.485233311793177e-05,2.0880424875342015e-05,CS-0,mean_total_shift
topology × message_condition × inoculation × seeding_regime,4,6.406664299707376e-05,9.006926490900301e-05,CS-0,mean_total_shift
topology,1,0.0006217863936696143,0.0020455570498262377,CS-0,mean_signed_shift
message_condition,1,0.29948629379320935,0.9852520187512246,CS-0,mean_signed_shift
inoculation,1,0.0018913056948770286,0.006222030164892747,CS-0,mean_signed_shift
seeding_regime,1,0.0004031108037835862,0.001326156626995571,CS-0,mean_signed_shift
topology × message_condition,2,0.00016061923194349292,0.0005284062269369398,CS-0,mean_signed_shift
topology × inoculation,2,0.000484538466313255,0.001594037897531928,CS-0,mean_signed_shift
topology × seeding_regime,2,4.911608910881525e-05,0.00016158243949901426,CS-0,mean_signed_shift
message_condition × inoculation,2,0.0003138335957171279,0.0010324518688850492,CS-0,mean_signed_shift
message_condition × seeding_regime,2,0.00021845484696736417,0.0007186742212957515,CS-0,mean_signed_shift
inoculation × seeding_regime,2,3.3487297418635306e-06,1.1016673573387155e-05,CS-0,mean_signed_shift
topology × message_condition × inoculation,3,0.0001257669126044636,0.00041374883293061816,CS-0,mean_signed_shift
topology × message_condition × seeding_regime,3,5.124090045560692e-05,0.00016857265812430305,CS-0,mean_signed_shift
topology × inoculation × seeding_regime,3,3.57439636206199e-05,0.00011759073134646607,CS-0,mean_signed_shift
message_condition × inoculation × seeding_regime,3,1.9211808822361398e-05,6.320313756717018e-05,CS-0,mean_signed_shift
topology × message_condition × inoculation × seeding_regime,4,0.00010485501119705809,0.00034495271937024516,CS-0,mean_signed_shift
topology,1,0.0005469170632008137,0.0015232059506133794,CS-0,conversion_rate
message_condition,1,0.3504656859008118,0.9760738038153092,CS-0,conversion_rate
inoculation,1,0.0013046238910452183,0.0036334775560344984,CS-0,conversion_rate
