design,outcome,factor,metric,point,lo95,median,hi95,replications_design,replications_benchmark,point_splits,bootstrap_draws,splits_per_bootstrap,denominator
C-D50,mean_total_shift,seeding_regime,rho,1.0,1.0,1.0,1.0,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D50,mean_total_shift,seeding_regime,tau,1.0,1.0,1.0,1.0,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-0,mean_total_shift,topology,B_total,0.0001645864466672,0.00016435672929630322,0.00016457847102417295,0.00016480179527948263,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-0,mean_total_shift,topology,B_factor,3.217040470492226e-07,3.1211118403404026e-07,3.213517884694172e-07,3.3123288665564693e-07,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-0,mean_total_shift,topology,q,9.572139462124874e-05,9.288584514070674e-05,9.561090215345932e-05,9.85358735004946e-05,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-0,mean_total_shift,topology,rho,0.2670661472715867,0.25556964616190675,0.2671215101735975,0.279822162446661,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-0,mean_total_shift,topology,tau,0.0489718558260389,0.04890862099454945,0.04896989534376287,0.049036362125041304,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-0,mean_total_shift,message_condition,B_total,0.0001645864466672,0.00016435672929630322,0.00016457847102417295,0.00016480179527948263,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-0,mean_total_shift,message_condition,B_factor,0.0001632323180397,0.0001630139713297795,0.0001632268636195457,0.0001634473304734121,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-0,mean_total_shift,message_condition,q,0.0485689417753344,0.04850582585409738,0.04856857118182108,0.04863156029479877,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-0,mean_total_shift,message_condition,rho,0.3805547599315536,0.37992961325618,0.38055142655609386,0.38111757196434465,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-0,mean_total_shift,message_condition,tau,0.0489718558260389,0.04890862099454945,0.04896989534376287,0.049036362125041304,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-0,mean_total_shift,inoculation,B_total,0.0001645864466672,0.00016435672929630322,0.00016457847102417295,0.00016480179527948263,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-0,mean_total_shift,inoculation,B_factor,2.2166419265581174e-07,2.1316130694029412e-07,2.2179908123122442e-07,2.3075245620941573e-07,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-0,mean_total_shift,inoculation,q,6.595504735867056e-05,6.34243032893276e-05,6.600684152919743e-05,6.865931675244503e-05,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-0,mean_total_shift,inoculation,rho,0.2583820758948567,0.24536991935222804,0.2585763954803987,0.2730766518877535,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-0,mean_total_shift,inoculation,tau,0.0489718558260389,0.04890862099454945,0.04896989534376287,0.049036362125041304,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
CS-0,mean_total_shift,seeding_regime,B_total,0.0001645864466672,0.00016435672929630322,0.00016457847102417295,0.00016480179527948263,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
