design,outcome,metric,lo95,median,hi95
C-D5,mean_total_shift,main_rho__message_condition,0.05283279073418734,0.05337061395390527,0.05389511859978895
C-D5,mean_total_shift,main_rho__seeding_regime,0.01411268379238727,0.014230683145765729,0.01434262724225136
C-D5,mean_total_shift,main_share__message_condition,0.24486464279626244,0.2465846077645133,0.2484590404090345
C-D5,mean_total_shift,main_share__seeding_regime,0.6639570772094481,0.6660053412430551,0.6678617869374162
C-D5,mean_total_shift,omega,0.13067694936794202,0.14233859105575802,0.1561080804234246
C-D5,mean_total_shift,shapley_rho__message_condition,0.03961349951836968,0.040046877051432395,0.0404807962155852
C-D5,mean_total_shift,shapley_rho__seeding_regime,0.014232328656940732,0.014349815930959044,0.014466524339987295
C-D5,mean_total_shift,shapley_share__message_condition,0.2881053524487774,0.28985386392028323,0.2916873021661739
C-D5,mean_total_shift,shapley_share__seeding_regime,0.7073829898287496,0.7092892217775866,0.7109784870436917
C-D5,mean_total_shift,tau,0.01749614913909001,0.017635316504666272,0.0177740616684774
C-D50,conversion_rate,main_rho__message_condition,1.0,1.0,1.0
C-D50,conversion_rate,main_rho__seeding_regime,1.0,1.0,1.0
C-D50,conversion_rate,main_share__message_condition,0.09575958714006394,0.0975329338563248,0.09927627706836467
C-D50,conversion_rate,main_share__seeding_regime,0.7480914639686913,0.7521680541689676,0.7562359907603288
C-D50,conversion_rate,omega,1.0,1.0,1.0
C-D50,conversion_rate,shapley_rho__message_condition,1.0,1.0,1.0
C-D50,conversion_rate,shapley_rho__seeding_regime,1.0,1.0,1.0
C-D50,conversion_rate,shapley_share__message_condition,0.16861850974101286,0.1715478932109634,0.17429211347255244
C-D50,conversion_rate,shapley_share__seeding_regime,0.8236803026557284,0.8264763812259844,0.8293152246673132
C-D50,conversion_rate,tau,1.0,1.0,1.0
C-D50,mean_signed_shift,main_rho__message_condition,1.0,1.0,1.0
C-D50,mean_signed_shift,main_rho__seeding_regime,1.0,1.0,1.0
C-D50,mean_signed_shift,main_share__message_condition,0.07493866246938642,0.07544540522164538,0.07592651178490235
C-D50,mean_signed_shift,main_share__seeding_regime,0.8228206343224214,0.8239173252870589,0.825052995837489
C-D50,mean_signed_shift,omega,1.0,1.0,1.0
C-D50,mean_signed_shift,shapley_rho__message_condition,1.0,1.0,1.0
C-D50,mean_signed_shift,shapley_rho__seeding_regime,1.0,1.0,1.0
C-D50,mean_signed_shift,shapley_share__message_condition,0.1240846819003446,0.12490426551364456,0.12568746946804515
C-D50,mean_signed_shift,shapley_share__seeding_regime,0.8730157027380793,0.8737681639812955,0.8745878875560845
C-D50,mean_signed_shift,tau,1.0,1.0,1.0
C-D50,mean_total_shift,main_rho__message_condition,1.0,1.0,1.0
C-D50,mean_total_shift,main_rho__seeding_regime,1.0,1.0,1.0
C-D50,mean_total_shift,main_share__message_condition,0.08112787849196022,0.0814894457384667,0.08182300986128983
C-D50,mean_total_shift,main_share__seeding_regime,0.824600939625929,0.8253978307192198,0.826197418499633
C-D50,mean_total_shift,omega,1.0,1.0,1.0
C-D50,mean_total_shift,shapley_rho__message_condition,1.0,1.0,1.0
C-D50,mean_total_shift,shapley_rho__seeding_regime,1.0,1.0,1.0
C-D50,mean_total_shift,shapley_share__message_condition,0.12704062791458876,0.1276213730002203,0.1281951259668232
C-D50,mean_total_shift,shapley_share__seeding_regime,0.8711647018619181,0.8717194783420064,0.8723002759165993
C-D50,mean_total_shift,tau,1.0,1.0,1.0
CS-0,conversion_rate,main_rho__message_condition,0.19456348771093537,0.20245061477133036,0.21125755369565102
CS-0,conversion_rate,main_rho__seeding_regime,2.5376521309423234e-05,7.148885065054802e-05,0.00014203011808200643
CS-0,conversion_rate,main_share__message_condition,0.9524966358367505,0.961036618710606,0.9683003417679974
CS-0,conversion_rate,main_share__seeding_regime,0.0009260481402737398,0.0026195869361057976,0.005172742299542751
CS-0,conversion_rate,omega,0.5673360573047921,0.6164640064675667,0.6706862785513185
CS-0,conversion_rate,shapley_rho__message_condition,0.11155946329804174,0.11611675479582198,0.12131455635403697
CS-0,conversion_rate,shapley_rho__seeding_regime,0.00016912341222072186,0.00023393124021272124,0.0003140106593660255
CS-0,conversion_rate,shapley_share__message_condition,0.9623051834069872,0.9692736767908972,0.9750498493371579
CS-0,conversion_rate,shapley_share__seeding_regime,0.006750727162382975,0.00941086886708819,0.01254160328948615
CS-0,conversion_rate,tau,0.019818672381625105,0.020564413584636967,0.0213930083396523
CS-0,mean_signed_shift,main_rho__message_condition,0.4025414070206853,0.40708477798535125,0.4120418341558486
