design,outcome,factor,replications,B_total_U,B_factor_U,q_proportion,rho_proportion,tau_proportion,in_sample_B_total,in_sample_B_factor
D-A95,mean_total_shift,seeding_regime,30,0.0004680432328858112,5.302804504042676e-06,0.0015778232029595826,0.0018099282086122897,0.13926394463013855,0.00046817267647573225,5.332582173883823e-06
E-S,mean_total_shift,topology,30,0.003002707870231799,1.1388990928158478e-06,0.00033887378143103474,0.9464617018291077,0.8934408473382702,0.003002848434737998,1.17621160817371e-06
E-S,mean_total_shift,message_condition,30,0.003002707870231799,3.845136838061208e-05,0.01144101412190924,0.08964421047741379,0.8934408473382702,0.003002848434737998,3.8490211244976134e-05
E-S,mean_total_shift,inoculation,30,0.003002707870231799,9.215103576038001e-07,0.0002741908405045658,1.0755221036641949,0.8934408473382702,0.003002848434737998,9.536002993545158e-07
E-S,mean_total_shift,seeding_regime,30,0.003002707870231799,0.002962196092400767,0.8813867685944253,1.0110427912230078,0.8934408473382702,0.003002848434737998,0.002962228411585494
E-SD,mean_total_shift,topology,60,6.148217537319391e-08,1.2960113903488201e-09,3.856217670165539e-07,0.0010770270639751832,1.829371661699013e-05,6.523257566520047e-08,2.3156508420426125e-09
E-SD,mean_total_shift,message_condition,60,6.148217537319391e-08,5.832215693004673e-08,1.7353468788208825e-05,0.00013597029004486737,1.829371661699013e-05,6.523257566520047e-08,5.933767035109116e-08
E-SD,mean_total_shift,inoculation,60,6.148217537319391e-08,1.7688849749485048e-09,5.263229588631031e-07,0.0020645181833263393,1.829371661699013e-05,6.523257566520047e-08,2.633470502377447e-09
E-SD,mean_total_shift,seeding_regime,60,6.148217537319391e-08,9.512207785258776e-11,2.8303102902458603e-08,3.246661871769191e-08,1.829371661699013e-05,6.523257566520047e-08,9.457839696919876e-10
J-S06-D05,mean_total_shift,topology,60,1.0541267617763005e-08,1.9871198182819376e-10,5.912576550683337e-08,0.00016513603503708922,3.1365019440624473e-06,1.1264862709763e-08,3.931933480798121e-10
J-S06-D05,mean_total_shift,message_condition,60,1.0541267617763005e-08,1.0020758767633662e-08,2.981627115006656e-06,2.3362055654749683e-05,3.1365019440624473e-06,1.1264862709763e-08,1.0214402868132454e-08
J-S06-D05,mean_total_shift,inoculation,60,1.0541267617763005e-08,3.464776580764746e-10,1.0309271024481252e-07,0.00040438436379167716,3.1365019440624473e-06,1.1264862709763e-08,5.127923882323599e-10
J-S06-D05,mean_total_shift,seeding_regime,60,1.0541267617763005e-08,-2.468078977497742e-11,-7.34364669575109e-09,-8.423930693750105e-09,3.1365019440624473e-06,1.1264862709763e-08,1.4447410531872402e-10
J-S06-D50,mean_total_shift,topology,30,1.2760842792860701e-06,4.191201715690078e-08,1.2470713016590205e-05,0.03483023152414182,0.00037969255386551475,1.2879189740324414e-06,4.503141448051196e-08
J-S06-D50,mean_total_shift,message_condition,30,1.2760842792860701e-06,1.1260544774963607e-06,0.0003350519297922035,0.0026252450521530987,0.00037969255386551475,1.2879189740324414e-06,1.1292930163001133e-06
J-S06-D50,mean_total_shift,inoculation,30,1.2760842792860701e-06,3.7427099621065405e-08,1.113624802810976e-05,0.043682279408306525,0.00037969255386551475,1.2879189740324414e-06,4.0122800178857416e-08
J-S06-D50,mean_total_shift,seeding_regime,30,1.2760842792860701e-06,7.069068501177974e-08,2.103366302862212e-05,2.4127811008572017e-05,0.00037969255386551475,1.2879189740324414e-06,7.34717430729952e-08
J-S06-D95,mean_total_shift,topology,30,5.124806545862816e-06,1.1653034810005267e-07,3.4673027629257014e-05,0.09684045959227712,0.0015248607925442068,5.148598680043095e-06,1.2294123649775753e-07
J-S06-D95,mean_total_shift,message_condition,30,5.124806545862816e-06,4.4069058201333844e-06,0.001311252989048175,0.010274110117063365,0.0015248607925442068,5.148598680043095e-06,4.413324100692103e-06
J-S06-D95,mean_total_shift,inoculation,30,5.124806545862816e-06,1.3044169324581282e-07,3.881227944188293e-05,0.1522423738025684,0.0015248607925442068,5.148598680043095e-06,1.3576061671604452e-07
J-S06-D95,mean_total_shift,seeding_regime,30,5.124806545862816e-06,4.7092868438364466e-07,0.00014012249642491532,0.00016073515617270678,0.0015248607925442068,5.148598680043095e-06,4.7657272613726743e-07
J-S14-D50,mean_total_shift,topology,30,7.836776282002254e-06,2.9669587983217163e-07,8.828038881403596e-05,0.2465637993067107,0.0023317939487906445,7.900004277958707e-06,3.1354073971522125e-07
J-S14-D50,mean_total_shift,message_condition,30,7.836776282002254e-06,6.661610359117876e-06,0.0019821291517873227,0.015530651477474856,0.0023317939487906445,7.900004277958707e-06,6.678736211100478e-06
J-S14-D50,mean_total_shift,inoculation,30,7.836776282002254e-06,2.0343589322491415e-07,6.053134193432345e-05,0.23743607224449273,0.0023317939487906445,7.900004277958707e-06,2.1747594249584783e-07
J-S14-D50,mean_total_shift,seeding_regime,30,7.836776282002254e-06,6.750341498274683e-07,0.00020085306625501487,0.00023039947043454446,0.0023317939487906445,7.900004277958707e-06,6.902513846473349e-07
J-S14-D95,mean_total_shift,topology,30,3.2892096872360166e-05,7.624816525434615e-07,0.0002268726373557365,0.6336467269418067,0.009786880432729324,3.301774322844524e-05,7.959784654469137e-07
J-S14-D95,mean_total_shift,message_condition,30,3.2892096872360166e-05,2.693349297649319e-05,0.008013927370443734,0.06279182809249785,0.009786880432729324,3.301774322844524e-05,2.6967505196627504e-05
J-S14-D95,mean_total_shift,inoculation,30,3.2892096872360166e-05,8.017635177936855e-07,0.00023856076170580143,0.9357620109023437,0.009786880432729324,3.301774322844524e-05,8.306443873293644e-07
J-S14-D95,mean_total_shift,seeding_regime,30,3.2892096872360166e-05,4.3943587255304035e-06,0.0013075196632242228,0.001499861782578553,0.009786880432729324,3.301774322844524e-05,4.423615179042033e-06
J-S18-D05,mean_total_shift,topology,60,1.0162076515870838e-07,2.1370247800265532e-09,6.358611336048526e-07,0.0017759361851401075,3.02367551071663e-05,1.0776107167136532e-07,3.7933664489357906e-09
J-S18-D05,mean_total_shift,message_condition,60,1.0162076515870838e-07,9.59607646161335e-08,2.855264999297056e-05,0.0002237196579240517,3.02367551071663e-05,1.0776107167136532e-07,9.762405426447762e-08
