design,outcome,factor,replications,splits,mean_B_total,mean_B_factor,split_sd_B_factor,split_q025_B_factor,split_q975_B_factor,positive_frequency,sign_stability,factor_ranking_agreement,q_point,rho_point,tau_point
NC-NoOp,mean_total_shift,topology,30,100,0.00336083744205926,1.204585644177782e-06,8.97739914510869e-09,1.185925239206517e-06,1.220781382728204e-06,1.0,1.0,1.0,0.0003584183004815923,1.0,1.0
NC-NoOp,mean_total_shift,message_condition,30,100,0.00336083744205926,0.00042893253540988134,1.09101737617265e-08,0.000428911810170832,0.00042895153114567514,1.0,1.0,1.0,0.12762668317187778,1.0,1.0
NC-NoOp,mean_total_shift,inoculation,30,100,0.00336083744205926,8.578930712903375e-07,8.099915596518823e-09,8.403757128635944e-07,8.718949157605411e-07,1.0,1.0,1.0,0.0002552616977406343,1.0,1.0
NC-NoOp,mean_total_shift,seeding_regime,30,100,0.00336083744205926,0.0029298424279339107,7.764149809748038e-09,0.002929825212212093,0.002929855519909295,1.0,1.0,1.0,0.8717596368299,1.0,1.0
PC-M01,mean_total_shift,topology,30,100,8.040258923947425e-05,1.4802203947521254e-07,1.1878518402791781e-09,1.4601436590089156e-07,1.5021813137683622e-07,1.0,1.0,1.0,4.4043201144687364e-05,0.12288212149186656,0.023923379403381614
PC-M01,mean_total_shift,message_condition,30,100,8.040258923947425e-05,7.319609073481057e-05,1.4849177166409236e-09,7.319325796083328e-05,7.319849736152799e-05,1.0,1.0,1.0,0.02177912261354768,0.17064709410505666,0.023923379403381614
PC-M01,mean_total_shift,inoculation,30,100,8.040258923947425e-05,1.0544056120387599e-07,1.1144141799046024e-09,1.029790052525012e-07,1.0728535247419085e-07,1.0,1.0,1.0,3.137329996516291e-05,0.12290641425193613,0.023923379403381614
PC-M01,mean_total_shift,seeding_regime,30,100,8.040258923947425e-05,6.953035903984598e-06,1.3102719949524838e-09,6.950663024758244e-06,6.9552258250849454e-06,1.0,1.0,1.0,0.002068840288724086,0.0023731774233632743,0.023923379403381614
PC-M05,mean_total_shift,topology,30,100,2.9624673891448513e-05,1.5688731576481187e-08,3.0552115602914304e-10,1.4987550808344708e-08,1.6162541154238995e-08,1.0,1.0,1.0,4.668101878461683e-06,0.01302417279527675,0.008814670272566594
PC-M05,mean_total_shift,message_condition,30,100,2.9624673891448513e-05,6.40664364279294e-06,3.119454961567494e-10,6.406010219789829e-06,6.407105859983644e-06,1.0,1.0,1.0,0.001906264064609875,0.014936250141693844,0.008814670272566594
PC-M05,mean_total_shift,inoculation,30,100,2.9624673891448513e-05,8.548553827105414e-09,3.3509981273653137e-10,7.798120108566598e-09,9.067142608163866e-09,1.0,1.0,1.0,2.543578490326365e-06,0.009964591291368898,0.008814670272566594
PC-M05,mean_total_shift,seeding_regime,30,100,2.9624673891448513e-05,2.319379296325199e-05,2.7864401928231727e-10,2.3193226319043624e-05,2.31941931049437e-05,1.0,1.0,1.0,0.006901194527587932,0.007916396029396014,0.008814670272566594
S-A06,mean_total_shift,topology,30,100,0.0005259732864132853,1.687291477693421e-07,1.619203633985181e-09,1.656226969386576e-07,1.7174923652799057e-07,1.0,1.0,1.0,5.0204495361119876e-05,0.1400723548258058,0.15650066255242912
S-A06,mean_total_shift,message_condition,30,100,0.0005259732864132853,7.876047986348158e-06,1.7859456391957511e-09,7.872563868732324e-06,7.879341257101247e-06,1.0,1.0,1.0,0.0023434778153156757,0.018361973821412098,0.15650066255242912
S-A06,mean_total_shift,inoculation,30,100,0.0005259732864132853,2.2238307882883818e-07,1.5155861618046351e-09,2.1960508949911267e-07,2.246192428052244e-07,1.0,1.0,1.0,6.616894826444778e-05,0.2592200429994811,0.15650066255242912
S-A06,mean_total_shift,seeding_regime,30,100,0.0005259732864132853,0.000517706126200339,1.3231667503864121e-09,0.0005177033756634587,0.0005177082152860608,1.0,1.0,1.0,0.15404081129348787,0.17670101342802214,0.15650066255242912
S-A18,mean_total_shift,topology,30,100,0.0047641908732487396,1.834625243646666e-06,9.930132374970378e-09,1.8154327813705424e-06,1.8534787221219374e-06,1.0,1.0,1.0,0.000545883362487937,1.523034291927771,1.4175606393892153
S-A18,mean_total_shift,message_condition,30,100,0.0047641908732487396,5.6342415630722266e-05,1.1779497850476037e-08,5.631821861555888e-05,5.636135179316106e-05,1.0,1.0,1.0,0.01676439774373616,0.13135495906572422,1.4175606393892153
S-A18,mean_total_shift,inoculation,30,100,0.0047641908732487396,1.3292272944682473e-06,1.0893433695311783e-08,1.3070733621061206e-06,1.3462175014444073e-06,1.0,1.0,1.0,0.00039550478634688146,1.5494090568524894,1.4175606393892153
S-A18,mean_total_shift,seeding_regime,30,100,0.0047641908732487396,0.004704684605079901,8.362081326457805e-09,0.004704665763764805,0.004704698858927636,1.0,1.0,1.0,1.399854853496644,1.6057807615263415,1.4175606393892153
C-D1,mean_signed_shift,topology,30,100,7.642727899247743e-07,1.3164687613779822e-09,4.5414119056800587e-10,3.5959058987985924e-10,1.974209795678158e-09,1.0,1.0,0.96,5.834269679683355e-07,0.0011117227231009093,0.00033870713047515026
C-D1,mean_signed_shift,message_condition,30,100,7.642727899247743e-07,7.572839828696081e-07,4.437188801570196e-10,7.563827984171432e-07,7.580552276650209e-07,1.0,1.0,0.96,0.0003356098609997673,0.002686952987815848,0.00033870713047515026
