design,outcome,contrast,estimate,bootstrap_median,lo95,hi95
J-S06-D50,mean_signed_shift,high-quality vs low-quality (unlabeled),1.9587973891831492e-05,2.1797353901556113e-05,-3.644439718166409e-05,7.361717258455029e-05
J-S06-D50,mean_signed_shift,high-quality vs human-equivalent,1.4776939646202192e-05,1.4461178097347968e-05,-3.813546821789765e-05,7.269002131234732e-05
J-S06-D50,mean_signed_shift,low-quality vs human-equivalent,-4.8110342456293e-06,-4.486177782281678e-06,-6.45112144123485e-05,5.0401533583253456e-05
J-S06-D50,conversion_rate,labeled vs mean unlabeled,-0.0023558802497782756,-0.0023620883032371524,-0.0027240855702546115,-0.0020349715324837316
J-S06-D50,conversion_rate,high-quality vs low-quality (unlabeled),0.00014788619075279362,0.0001469639611752782,-0.00019956505204089676,0.0005031858844025366
J-S06-D50,conversion_rate,high-quality vs human-equivalent,0.00026265273265191694,0.00026361867695991626,-2.555542154714021e-05,0.000573674588694416
J-S06-D50,conversion_rate,low-quality vs human-equivalent,0.00011476654189912332,0.00010471105704632638,-0.00027949182416738206,0.0005464990958903296
J-S06-D95,mean_total_shift,labeled vs mean unlabeled,-0.004844070191370002,-0.0048432341578483855,-0.004887643090271723,-0.004797285363398253
J-S06-D95,mean_total_shift,high-quality vs low-quality (unlabeled),4.406491522677969e-05,4.4880210052401434e-05,-3.449616444205087e-05,0.00011636676972980908
J-S06-D95,mean_total_shift,high-quality vs human-equivalent,2.2346756544076862e-06,2.032806277323454e-06,-6.889785397306628e-05,7.107275777409566e-05
J-S06-D95,mean_total_shift,low-quality vs human-equivalent,-4.1830239572372e-05,-4.2233931041725514e-05,-0.0001258048011370392,3.786877002220389e-05
J-S06-D95,mean_signed_shift,labeled vs mean unlabeled,-0.006550242344638295,-0.0065491785378732625,-0.006603920585958267,-0.006493319530413446
J-S06-D95,mean_signed_shift,high-quality vs low-quality (unlabeled),4.2179960463829824e-05,4.302186075025999e-05,-5.85560883802988e-05,0.0001447040956693135
J-S06-D95,mean_signed_shift,high-quality vs human-equivalent,-6.587005949680591e-06,-7.024310296312522e-06,-8.630399571335551e-05,6.99008458276761e-05
J-S06-D95,mean_signed_shift,low-quality vs human-equivalent,-4.8766966413510415e-05,-4.980121055339799e-05,-0.0001451713028314803,5.431258703880618e-05
J-S06-D95,conversion_rate,labeled vs mean unlabeled,-0.004737480750738864,-0.004735095152741031,-0.0050878802746995005,-0.004399970298979778
J-S06-D95,conversion_rate,high-quality vs low-quality (unlabeled),2.5583004282465904e-05,1.893144461159388e-05,-0.00042616431943987964,0.00040051382808955186
J-S06-D95,conversion_rate,high-quality vs human-equivalent,-0.000145164843272743,-0.0001592352537339286,-0.0006667502787744754,0.000323228103916158
J-S06-D95,conversion_rate,low-quality vs human-equivalent,-0.00017074784755520891,-0.00016494979669261223,-0.0006382071344257469,0.0002731610301447243
J-S14-D50,mean_total_shift,labeled vs mean unlabeled,-0.0059544137309497785,-0.005956654889740509,-0.006039120031022738,-0.0058723944972726705
J-S14-D50,mean_total_shift,high-quality vs low-quality (unlabeled),9.334130110515843e-05,9.89955558950116e-05,-2.5310527169569543e-05,0.0002051558466824083
