design,outcome,tau,omega,ss_sys,ss_mc,factor,allocation,p_sys,q_sys,rho,factor_ss
J-S06-D05,mean_total_shift,3.605167678339579e-06,0.010229207548298145,5.2344931677270935e-05,0.00018116152657345145,topology,main,0.008784177266385635,3.1668431961578805e-08,0.00016900932964713353,4.598071588499926e-07
J-S06-D05,mean_total_shift,3.605167678339579e-06,0.010229207548298145,5.2344931677270935e-05,0.00018116152657345145,topology,shapley,0.04381377797642317,1.579560162265473e-07,0.0004279463875998395,2.2934292146989888e-06
J-S06-D05,mean_total_shift,3.605167678339579e-06,0.010229207548298145,5.2344931677270935e-05,0.00018116152657345145,message_condition,main,0.8363029796436761,3.0150124715104635e-06,3.699471714613063e-05,4.3776222330946326e-05
J-S06-D05,mean_total_shift,3.605167678339579e-06,0.010229207548298145,5.2344931677270935e-05,0.00018116152657345145,message_condition,shapley,0.8682266239546815,3.13010256215531e-06,2.4524192838051646e-05,4.544726331129541e-05
J-S06-D05,mean_total_shift,3.605167678339579e-06,0.010229207548298145,5.2344931677270935e-05,0.00018116152657345145,inoculation,main,0.029922835755940756,1.0787684031158146e-07,0.0007905434297926213,1.5663087932349186e-06
J-S06-D05,mean_total_shift,3.605167678339579e-06,0.010229207548298145,5.2344931677270935e-05,0.00018116152657345145,inoculation,shapley,0.061922780805644624,2.2324200791341646e-07,0.0008444811125355198,3.241343730538092e-06
J-S06-D05,mean_total_shift,3.605167678339579e-06,0.010229207548298145,5.2344931677270935e-05,0.00018116152657345145,seeding_regime,main,0.0005994749784465622,2.1612078162688617e-09,2.618361854106525e-09,3.1379476789018766e-08
J-S06-D05,mean_total_shift,3.605167678339579e-06,0.010229207548298145,5.2344931677270935e-05,0.00018116152657345145,seeding_regime,shapley,0.026036817263250727,9.386709204430549e-08,1.0767868256242096e-07,1.3628954207384478e-06
J-S06-D50,mean_total_shift,0.0003831978994274411,0.08418987688041253,0.005563809967818588,0.0014910213274755542,topology,main,0.028011128254904302,1.0733805507871974e-05,0.05728459418669969,0.00015584859459448144
J-S06-D50,mean_total_shift,0.0003831978994274411,0.08418987688041253,0.005563809967818588,0.0014910213274755542,topology,shapley,0.03496447788143559,1.3398314478743345e-05,0.03629972708909825,0.0001945357105563039
J-S06-D50,mean_total_shift,0.0003831978994274411,0.08418987688041253,0.005563809967818588,0.0014910213274755542,message_condition,main,0.8734756473225089,0.0003347140332550098,0.00410699826356147,0.004859852513219768
J-S06-D50,mean_total_shift,0.0003831978994274411,0.08418987688041253,0.005563809967818588,0.0014910213274755542,message_condition,shapley,0.876835452438885,0.00033600150351809066,0.0026325545257785336,0.0048785458304161896
J-S06-D50,mean_total_shift,0.0003831978994274411,0.08418987688041253,0.005563809967818588,0.0014910213274755542,inoculation,main,0.023920663523412374,9.166348015082233e-06,0.06717286284605738,0.00013309002614839626
J-S06-D50,mean_total_shift,0.0003831978994274411,0.08418987688041253,0.005563809967818588,0.0014910213274755542,inoculation,shapley,0.031153202171580692,1.1937841632588118e-05,0.04515853390402601,0.00017333049677170832
J-S06-D50,mean_total_shift,0.0003831978994274411,0.08418987688041253,0.005563809967818588,0.0014910213274755542,seeding_regime,main,0.054806833619452114,2.1001863517243307e-05,2.5444326956783674e-05,0.00030493480719648254
J-S06-D50,mean_total_shift,0.0003831978994274411,0.08418987688041253,0.005563809967818588,0.0014910213274755542,seeding_regime,shapley,0.0570468675080986,2.1860239798018926e-05,2.5076752360009656e-05,0.0003173979300743853
J-S06-D95,mean_total_shift,0.0015318760255626437,0.16955281724419993,0.022241946297781336,0.0030028178685160265,topology,main,0.018480847852747784,2.8310367757695195e-05,0.15108788090919262,0.00041105002547828375
J-S06-D95,mean_total_shift,0.0015318760255626437,0.16955281724419993,0.022241946297781336,0.0030028178685160265,topology,shapley,0.023878582142101836,3.657902750791408e-05,0.09910266831163651,0.0005311061416717895
J-S06-D95,mean_total_shift,0.0015318760255626437,0.16955281724419993,0.022241946297781336,0.0030028178685160265,message_condition,main,0.8546011870296935,0.0013091430698281643,0.016063408702202443,0.019007993707934625
J-S06-D95,mean_total_shift,0.0015318760255626437,0.16955281724419993,0.022241946297781336,0.0030028178685160265,message_condition,shapley,0.8571893781116987,0.0013131078576962632,0.010288132634583681,0.019065560114988982
J-S06-D95,mean_total_shift,0.0015318760255626437,0.16955281724419993,0.022241946297781336,0.0030028178685160265,inoculation,main,0.02060332062585305,3.156173291372461e-05,0.23129079898659052,0.0004582579509161941
J-S06-D95,mean_total_shift,0.0015318760255626437,0.16955281724419993,0.022241946297781336,0.0030028178685160265,inoculation,shapley,0.026368459682367902,4.039321121843455e-05,0.15279966466640896,0.0005864858642104392
J-S06-D95,mean_total_shift,0.0015318760255626437,0.16955281724419993,0.022241946297781336,0.0030028178685160265,seeding_regime,main,0.09155202483105196,0.00014024635193040435,0.00016991225707583082,0.002036295219745401
J-S06-D95,mean_total_shift,0.0015318760255626437,0.16955281724419993,0.022241946297781336,0.0030028178685160265,seeding_regime,shapley,0.0925635800638316,0.0001417959291400319,0.0001626597619036319,0.0020587941769101255
J-S14-D50,mean_total_shift,0.0023505089262744624,0.4492969808566959,0.03412801848077122,0.007957148836068316,topology,main,0.0334754366604106,7.86843126812305e-05,0.41992552571387987,0.0011424503209983793
J-S14-D50,mean_total_shift,0.0023505089262744624,0.4492969808566959,0.03412801848077122,0.007957148836068316,topology,shapley,0.039688679737918356,9.328859599602549e-05,0.25274452100324796,0.0013544959955730878
J-S14-D50,mean_total_shift,0.0023505089262744624,0.4492969808566959,0.03412801848077122,0.007957148836068316,message_condition,main,0.8416363409824336,0.0019782737321561873,0.024273756029298852,0.02872338059913716
J-S14-D50,mean_total_shift,0.0023505089262744624,0.4492969808566959,0.03412801848077122,0.007957148836068316,message_condition,shapley,0.8454091891742346,0.001987141845508494,0.015569154316226555,0.028852140431952087
J-S14-D50,mean_total_shift,0.0023505089262744624,0.4492969808566959,0.03412801848077122,0.007957148836068316,inoculation,main,0.02086041118648753,4.903258269959459e-05,0.35932074008628884,0.000711924498488933
J-S14-D50,mean_total_shift,0.0023505089262744624,0.4492969808566959,0.03412801848077122,0.007957148836068316,inoculation,shapley,0.02752858540864772,6.47061857307354e-05,0.244770920242818,0.0009394960715758184
J-S14-D50,mean_total_shift,0.0023505089262744624,0.4492969808566959,0.03412801848077122,0.007957148836068316,seeding_regime,main,0.08506845015117533,0.00019995415142467178,0.00024224987468556737,0.002903217638889877
J-S14-D50,mean_total_shift,0.0023505089262744624,0.4492969808566959,0.03412801848077122,0.007957148836068316,seeding_regime,shapley,0.08737354567919962,0.00020537229903920822,0.0002355907497903475,0.002981885981670233
J-S14-D95,mean_total_shift,0.009823855463019997,0.8941546808754863,0.14263665074685333,0.015835677027312877,topology,main,0.018701376727976622,0.00018371962193512817,0.9804820833551884,0.002667501740833732
J-S14-D95,mean_total_shift,0.009823855463019997,0.8941546808754863,0.14263665074685333,0.015835677027312877,topology,shapley,0.024107597540572883,0.00023682955379924437,0.6416365419086504,0.003438626970740395
J-S14-D95,mean_total_shift,0.009823855463019997,0.8941546808754863,0.14263665074685333,0.015835677027312877,message_condition,main,0.8137199102473617,0.007993866785651687,0.09808610857615362,0.11606628264371377
J-S14-D95,mean_total_shift,0.009823855463019997,0.8941546808754863,0.14263665074685333,0.015835677027312877,message_condition,shapley,0.8167579779770956,0.008023712323915458,0.06286537402571876,0.1164996224494251
J-S14-D95,mean_total_shift,0.009823855463019997,0.8941546808754863,0.14263665074685333,0.015835677027312877,inoculation,main,0.019626991801691755,0.00019281273063369823,1.4129709114819182,0.0027995283748292604
J-S14-D95,mean_total_shift,0.009823855463019997,0.8941546808754863,0.14263665074685333,0.015835677027312877,inoculation,shapley,0.02515751550850056,0.0002471437961641935,0.9348969304286877,0.0035883837532445406
J-S14-D95,mean_total_shift,0.009823855463019997,0.8941546808754863,0.14263665074685333,0.015835677027312877,seeding_regime,main,0.13214233553402985,0.0012981472048322006,0.0015727405280329572,0.018848340162440923
J-S14-D95,mean_total_shift,0.009823855463019997,0.8941546808754863,0.14263665074685333,0.015835677027312877,seeding_regime,shapley,0.13397690897383105,0.001316169789141103,0.0015098308239513754,0.0191100175734433
J-S18-D05,mean_total_shift,3.3976744381606865e-05,0.08720417726502303,0.0004933225086746683,0.0015444052535175897,topology,main,0.010298031551941006,3.498935856740218e-07,0.0018673258099530534,5.080250759614424e-06
J-S18-D05,mean_total_shift,3.3976744381606865e-05,0.08720417726502303,0.0004933225086746683,0.0015444052535175897,topology,shapley,0.041785836654903326,1.4197466907952287e-06,0.003846485130146823,2.0613893765666817e-05
J-S18-D05,mean_total_shift,3.3976744381606865e-05,0.08720417726502303,0.0004933225086746683,0.0015444052535175897,message_condition,main,0.8500990938562026,2.8883599610987822e-05,0.00035440669246560854,0.00041937301760320417
J-S18-D05,mean_total_shift,3.3976744381606865e-05,0.08720417726502303,0.0004933225086746683,0.0015444052535175897,message_condition,shapley,0.878580228337799,2.985129583696719e-05,0.0002338833699645358,0.0004334234023155659
J-S18-D05,mean_total_shift,3.3976744381606865e-05,0.08720417726502303,0.0004933225086746683,0.0015444052535175897,inoculation,main,0.02505800859818685,8.513895528527016e-07,0.006239155830461623,1.2361679664048945e-05
J-S18-D05,mean_total_shift,3.3976744381606865e-05,0.08720417726502303,0.0004933225086746683,0.0015444052535175897,inoculation,shapley,0.04968886133246364,1.6882657401062266e-06,0.006386381056980389,2.4512633725718683e-05
J-S18-D05,mean_total_shift,3.3976744381606865e-05,0.08720417726502303,0.0004933225086746683,0.0015444052535175897,seeding_regime,main,0.006199755821440424,2.106475187734604e-07,2.552051790978725e-07,3.0584790950033688e-06
J-S18-D05,mean_total_shift,3.3976744381606865e-05,0.08720417726502303,0.0004933225086746683,0.0015444052535175897,seeding_regime,shapley,0.029945073674834215,1.0174361137382271e-06,1.167141518212272e-06,1.4772578867716983e-05
J-S18-D50,mean_total_shift,0.004040322596118702,0.7456975662832761,0.058663127243327805,0.013206468715405163,topology,main,0.03566796343611165,0.00014411007862845756,0.7690923192515741,0.0020923942775629813
J-S18-D50,mean_total_shift,0.004040322596118702,0.7456975662832761,0.058663127243327805,0.013206468715405163,topology,shapley,0.042116983548144506,0.00017016620030992788,0.46102714194678013,0.002470713964989945
J-S18-D50,mean_total_shift,0.004040322596118702,0.7456975662832761,0.058663127243327805,0.013206468715405163,message_condition,main,0.8124053315750912,0.003282379618370148,0.04027535762961317,0.047658237339347494
J-S18-D50,mean_total_shift,0.004040322596118702,0.7456975662832761,0.058663127243327805,0.013206468715405163,message_condition,shapley,0.8159141030835686,0.0032965561871804664,0.025828348442428654,0.047864072848817066
J-S18-D50,mean_total_shift,0.004040322596118702,0.7456975662832761,0.058663127243327805,0.013206468715405163,inoculation,main,0.024283696338978544,9.811396703566e-05,0.7189991084917212,0.0014245575682718318
J-S18-D50,mean_total_shift,0.004040322596118702,0.7456975662832761,0.058663127243327805,0.013206468715405163,inoculation,shapley,0.030983965223125576,0.0001251852148083503,0.4735513287237384,0.0018176162943870592
J-S18-D50,mean_total_shift,0.004040322596118702,0.7456975662832761,0.058663127243327805,0.013206468715405163,seeding_regime,main,0.10847270532651417,0.0004382647223928407,0.0005309695913903924,0.006363348114997302
J-S18-D50,mean_total_shift,0.004040322596118702,0.7456975662832761,0.058663127243327805,0.013206468715405163,seeding_regime,shapley,0.11098494814516133,0.00044841499381995776,0.0005143947119718876,0.006510724135133737
J-S18-D95,mean_total_shift,0.016857985942455352,1.4167085672105095,0.24476812206988316,0.025090221850884525,topology,main,0.01895963840260594,0.0003196213176651676,1.7057675828427854,0.004640715086929895
J-S18-D95,mean_total_shift,0.016857985942455352,1.4167085672105095,0.24476812206988316,0.025090221850884525,topology,shapley,0.023919931407068426,0.00040324186740485577,1.092493370036758,0.005854836690548556
J-S18-D95,mean_total_shift,0.016857985942455352,1.4167085672105095,0.24476812206988316,0.025090221850884525,message_condition,main,0.7767160159383671,0.013093867677968921,0.16066398917834174,0.19011532060283556
J-S18-D95,mean_total_shift,0.016857985942455352,1.4167085672105095,0.24476812206988316,0.025090221850884525,message_condition,shapley,0.7799011960405007,0.013147563399354875,0.10301048408275457,0.19089495115488914
J-S18-D95,mean_total_shift,0.016857985942455352,1.4167085672105095,0.24476812206988316,0.025090221850884525,inoculation,main,0.019065888243838345,0.00032141247599505157,2.355376004871621,0.004666721661038574
J-S18-D95,mean_total_shift,0.016857985942455352,1.4167085672105095,0.24476812206988316,0.025090221850884525,inoculation,shapley,0.023884205510472094,0.00040263960074225324,1.5231073271727225,0.00584609212992941
